,piece_title,group_number,pattern_generating_match,pattern_matched,part,start_measure,start_beat,start_offset,entry_number,offset_diffs,predicted_type
134,Ave Maria,21,"(2, -3, -2, -2, 1)","(2, -3, -2, -2, 1)",Altus,56,3.0,444.0,2,"[4.0, 36.0, 4.0]",ID
135,Ave Maria,21,"(2, -3, -2, -2, 1)","(2, -3, -2, -2, 1)",Tenor,61,1.0,480.0,3,"[4.0, 36.0, 4.0]",ID
136,Ave Maria,21,"(2, -3, -2, -2, 1)","(2, -3, -2, -2, 1)",Bassus,61,3.0,484.0,4,"[4.0, 36.0, 4.0]",ID
140,Ave Maria,22,"(2, -3, 2, -3, 2)","(2, -3, 2, -3, 2)",Bassus,51,2.5,403.0,1,"[105.0, 16.0, 8.0, 16.0, 32.0, 320.0]",Fuga
137,Ave Maria,22,"(2, -3, 2, -3, 2)","(2, -3, 2, -3, 2)",[Superius],64,3.0,508.0,2,"[105.0, 16.0, 8.0, 16.0, 32.0, 320.0]",Fuga
138,Ave Maria,22,"(2, -3, 2, -3, 2)","(2, -3, 2, -3, 2)",Altus,66,3.0,524.0,3,"[105.0, 16.0, 8.0, 16.0, 32.0, 320.0]",Fuga
139,Ave Maria,22,"(2, -3, 2, -3, 2)","(2, -3, 2, -3, 2)",Tenor,67,3.0,532.0,4,"[105.0, 16.0, 8.0, 16.0, 32.0, 320.0]",Fuga
141,Ave Maria,22,"(2, -3, 2, -3, 2)","(2, -3, 2, -3, 2)",Bassus,69,3.0,548.0,5,"[105.0, 16.0, 8.0, 16.0, 32.0, 320.0]",Fuga
142,Ave Maria,22,"(2, -3, 2, -3, 2)","(2, -3, 2, -3, 2)",Bassus,73,3.0,580.0,6,"[105.0, 16.0, 8.0, 16.0, 32.0, 320.0]",Fuga
143,Ave Maria,22,"(2, -3, 2, -3, 2)","(2, -3, 2, -3, 2)",Bassus,106,1.0,900.0,7,"[105.0, 16.0, 8.0, 16.0, 32.0, 320.0]",Fuga
148,Ave Maria,23,"(2, -3, 2, -2, -2)","(2, -3, 2, -2, -2)",[Superius],65,3.0,516.0,1,"[16.0, 8.0, 16.0, 66.0, 24.0, 429.0, 93.0]",Fuga
150,Ave Maria,23,"(2, -3, 2, -2, -2)","(2, -3, 2, -2, -2)",Altus,67,3.0,532.0,2,"[16.0, 8.0, 16.0, 66.0, 24.0, 429.0, 93.0]",Fuga
152,Ave Maria,23,"(2, -3, 2, -2, -2)","(2, -3, 2, -2, -2)",Tenor,68,3.0,540.0,3,"[16.0, 8.0, 16.0, 66.0, 24.0, 429.0, 93.0]",Fuga
154,Ave Maria,23,"(2, -3, 2, -2, -2)","(2, -3, 2, -2, -2)",Bassus,70,3.0,556.0,4,"[16.0, 8.0, 16.0, 66.0, 24.0, 429.0, 93.0]",Fuga
149,Ave Maria,23,"(2, -3, 2, -2, -2)","(2, -3, 2, -2, -2)",[Superius],78,4.0,622.0,5,"[16.0, 8.0, 16.0, 66.0, 24.0, 429.0, 93.0]",Fuga
153,Ave Maria,23,"(2, -3, 2, -2, -2)","(2, -3, 2, -2, -2)",Tenor,81,4.0,646.0,6,"[16.0, 8.0, 16.0, 66.0, 24.0, 429.0, 93.0]",Fuga
151,Ave Maria,23,"(2, -3, 2, -2, -2)","(2, -3, 2, -2, -2)",Altus,127,2.5,1075.0,7,"[16.0, 8.0, 16.0, 66.0, 24.0, 429.0, 93.0]",Fuga
155,Ave Maria,23,"(2, -3, 2, -2, -2)","(2, -3, 2, -2, -2)",Bassus,139,1.0,1168.0,8,"[16.0, 8.0, 16.0, 66.0, 24.0, 429.0, 93.0]",Fuga
95,Ave Maria,24,"(2, -3, 2, 2, 2)","(2, -3, 2, 2, 2)",Tenor,45,2.0,354.0,1,"[2.0, 0.0, 14.0, 2.0, 0.0]",Fuga
97,Ave Maria,24,"(2, -3, 2, 2, 2)","(2, -3, 2, 2, 2)",Bassus,45,3.0,356.0,2,"[2.0, 0.0, 14.0, 2.0, 0.0]",Fuga
93,Ave Maria,24,"(2, -3, 2, 2, 2)","(2, -3, 2, 2, 2)",[Superius],45,3.0,356.0,3,"[2.0, 0.0, 14.0, 2.0, 0.0]",Fuga
96,Ave Maria,24,"(2, -3, 2, 2, 2)","(2, -3, 2, 2, 2)",Tenor,47,2.0,370.0,4,"[2.0, 0.0, 14.0, 2.0, 0.0]",Fuga
94,Ave Maria,24,"(2, -3, 2, 2, 2)","(2, -3, 2, 2, 2)",[Superius],47,3.0,372.0,5,"[2.0, 0.0, 14.0, 2.0, 0.0]",Fuga
98,Ave Maria,24,"(2, -3, 2, 2, 2)","(2, -3, 2, 2, 2)",Bassus,47,3.0,372.0,6,"[2.0, 0.0, 14.0, 2.0, 0.0]",Fuga
69,Ave Maria,25,"(2, -2, -2, -2, -2)","(2, -2, -2, -2, -2)",Tenor,41,3.0,324.0,1,"[0.0, 216.0, 44.0, 86.0, 82.0, 48.0, 84.0, 102.0, 64.0, 82.0]",Fuga
60,Ave Maria,25,"(2, -2, -2, -2, -2)","(2, -2, -2, -2, -2)",[Superius],41,3.0,324.0,2,"[0.0, 216.0, 44.0, 86.0, 82.0, 48.0, 84.0, 102.0, 64.0, 82.0]",Fuga
62,Ave Maria,25,"(2, -2, -2, -2, -2)","(2, -2, -2, -2, -2)",Altus,68,3.0,540.0,3,"[0.0, 216.0, 44.0, 86.0, 82.0, 48.0, 84.0, 102.0, 64.0, 82.0]",Fuga
70,Ave Maria,25,"(2, -2, -2, -2, -2)","(2, -2, -2, -2, -2)",Tenor,74,1.0,584.0,4,"[0.0, 216.0, 44.0, 86.0, 82.0, 48.0, 84.0, 102.0, 64.0, 82.0]",Fuga
61,Ave Maria,25,"(2, -2, -2, -2, -2)","(2, -2, -2, -2, -2)",[Superius],84,4.0,670.0,5,"[0.0, 216.0, 44.0, 86.0, 82.0, 48.0, 84.0, 102.0, 64.0, 82.0]",Fuga
