,pattern_generating_match,pattern_matched,piece_title,part,start_measure,start_beat,start_offset,sub_group_id,predicted_type,offset_diffs,entry_number
94,"(2, -3, 2, 2, 2)","[2, -3, 2, 2, 2]",Ave Maria,[Superius],47,3.0,372.0,42.0,ID,"[2.0, 14.0, 2.0]",4
211,"(2, 1, 2, -2, -2)","[2, 1, 2, -2, -2]",Ave Maria,Altus,32,3.0,252.0,43.0,Fuga,[32.0],1
214,"(2, 1, 2, -2, -2)","[2, 1, 2, -2, -2]",Ave Maria,Bassus,36,3.0,284.0,43.0,Fuga,[32.0],2
172,"(2, 1, 2, 1, -3)","[2, 1, 2, 1, -3]",Ave Maria,[Superius],94,3.0,752.0,44.0,ID,"[8.0, 40.0, 8.0]",1
174,"(2, 1, 2, 1, -3)","[2, 1, 2, 1, -3]",Ave Maria,Tenor,95,2.0,760.0,44.0,ID,"[8.0, 40.0, 8.0]",2
173,"(2, 1, 2, 1, -3)","[2, 1, 2, 1, -3]",Ave Maria,[Superius],98,3.0,800.0,44.0,ID,"[8.0, 40.0, 8.0]",3
175,"(2, 1, 2, 1, -3)","[2, 1, 2, 1, -3]",Ave Maria,Tenor,99,2.0,808.0,44.0,ID,"[8.0, 40.0, 8.0]",4
104,"(2, 2, -2, -2, -2)","[2, 2, -2, -2, -2]",Ave Maria,[Superius],50,2.5,395.0,45.0,Fuga,[8.0],1
105,"(2, 2, -2, -2, -2)","[2, 2, -2, -2, -2]",Ave Maria,[Superius],51,2.5,403.0,45.0,Fuga,[8.0],2
14,"(2, 2, -3, -2, -2)","[2, 2, -3, -2, -2]",Ave Maria,[Superius],55,4.0,438.0,47.0,ID,"[4.0, 36.0, 4.0]",1
15,"(2, 2, -3, -2, -2)","[2, 2, -3, -2, -2]",Ave Maria,Altus,56,2.0,442.0,47.0,ID,"[4.0, 36.0, 4.0]",2
16,"(2, 2, -3, -2, -2)","[2, 2, -3, -2, -2]",Ave Maria,Tenor,60,4.0,478.0,47.0,ID,"[4.0, 36.0, 4.0]",3
17,"(2, 2, -3, -2, -2)","[2, 2, -3, -2, -2]",Ave Maria,Bassus,61,2.0,482.0,47.0,ID,"[4.0, 36.0, 4.0]",4
89,"(2, 2, -3, 2, 2)","[2, 2, -3, 2, 2]",Ave Maria,Tenor,44,4.0,350.0,48.0,ID,"[2.0, 14.0, 2.0]",1
87,"(2, 2, -3, 2, 2)","[2, 2, -3, 2, 2]",Ave Maria,[Superius],45,1.0,352.0,48.0,ID,"[2.0, 14.0, 2.0]",2
90,"(2, 2, -3, 2, 2)","[2, 2, -3, 2, 2]",Ave Maria,Tenor,46,4.0,366.0,48.0,ID,"[2.0, 14.0, 2.0]",3
88,"(2, 2, -3, 2, 2)","[2, 2, -3, 2, 2]",Ave Maria,[Superius],47,1.0,368.0,48.0,ID,"[2.0, 14.0, 2.0]",4
22,"(2, 2, 1, 2, -2)","[2, 2, 1, 2, -2]",Ave Maria,[Superius],32,1.0,248.0,49.0,Fuga,[32.0],1
26,"(2, 2, 1, 2, -2)","[2, 2, 1, 2, -2]",Ave Maria,Tenor,36,1.0,280.0,49.0,Fuga,[32.0],2
99,"(2, 2, 2, -2, 2)","[2, 2, 2, -2, 2]",Ave Maria,[Superius],48,3.0,380.0,50.0,Fuga,[2.0],1
101,"(2, 2, 2, -2, 2)","[2, 2, 2, -2, 2]",Ave Maria,Tenor,48,4.0,382.0,50.0,Fuga,[2.0],2
100,"(2, 2, 2, -2, 2)","[2, 2, 2, -2, 2]",Ave Maria,[Superius],127,1.0,1072.0,51.0,Fuga,[20.0],1
102,"(2, 2, 2, -2, 2)","[2, 2, 2, -2, 2]",Ave Maria,Tenor,129,3.0,1092.0,51.0,Fuga,[20.0],2
81,"(2, 2, 2, -3, 2)","[2, 2, 2, -3, 2]",Ave Maria,[Superius],44,3.0,348.0,52.0,Fuga,"[2.0, 12.0, 2.0, 2.0]",1
85,"(2, 2, 2, -3, 2)","[2, 2, 2, -3, 2]",Ave Maria,Bassus,44,4.0,350.0,52.0,Fuga,"[2.0, 12.0, 2.0, 2.0]",2
84,"(2, 2, 2, -3, 2)","[2, 2, 2, -3, 2]",Ave Maria,Tenor,46,2.0,362.0,52.0,Fuga,"[2.0, 12.0, 2.0, 2.0]",3
82,"(2, 2, 2, -3, 2)","[2, 2, 2, -3, 2]",Ave Maria,[Superius],46,3.0,364.0,52.0,Fuga,"[2.0, 12.0, 2.0, 2.0]",4
86,"(2, 2, 2, -3, 2)","[2, 2, 2, -3, 2]",Ave Maria,Bassus,46,4.0,366.0,52.0,Fuga,"[2.0, 12.0, 2.0, 2.0]",5
200,"(3, -2, -2, -2, -2)","[3, -2, -2, -2, -2]",Ave Maria,[Superius],114,1.0,968.0,53.0,ID,"[28.0, 36.0, 28.0]",1
202,"(3, -2, -2, -2, -2)","[3, -2, -2, -2, -2]",Ave Maria,Tenor,117,3.0,996.0,53.0,ID,"[28.0, 36.0, 28.0]",2
201,"(3, -2, -2, -2, -2)","[3, -2, -2, -2, -2]",Ave Maria,[Superius],122,1.0,1032.0,53.0,ID,"[28.0, 36.0, 28.0]",3
203,"(3, -2, -2, -2, -2)","[3, -2, -2, -2, -2]",Ave Maria,Tenor,125,3.0,1060.0,53.0,ID,"[28.0, 36.0, 28.0]",4
125,"(4, -2, 2, 2, -3)","[4, -2, 2, 2, -3]",Ave Maria,[Superius],54,3.0,428.0,54.0,ID,"[4.0, 36.0, 4.0]",1
126,"(4, -2, 2, 2, -3)","[4, -2, 2, 2, -3]",Ave Maria,Altus,55,1.0,432.0,54.0,ID,"[4.0, 36.0, 4.0]",2
127,"(4, -2, 2, 2, -3)","[4, -2, 2, 2, -3]",Ave Maria,Tenor,59,3.0,468.0,54.0,ID,"[4.0, 36.0, 4.0]",3
128,"(4, -2, 2, 2, -3)","[4, -2, 2, 2, -3]",Ave Maria,Bassus,60,1.0,472.0,54.0,ID,"[4.0, 36.0, 4.0]",4
0,"(4, 1, 2, 2, -3)","[4, 1, 2, 2, -3]",Ave Maria,[Superius],1,1.0,0.0,55.0,PEN,"[16.0, 16.0, 16.0]",1
2,"(4, 1, 2, 2, -3)","[4, 1, 2, 2, -3]",Ave Maria,Altus,3,1.0,16.0,55.0,PEN,"[16.0, 16.0, 16.0]",2
3,"(4, 1, 2, 2, -3)","[4, 1, 2, 2, -3]",Ave Maria,Tenor,5,1.0,32.0,55.0,PEN,"[16.0, 16.0, 16.0]",3
4,"(4, 1, 2, 2, -3)","[4, 1, 2, 2, -3]",Ave Maria,Bassus,7,1.0,48.0,55.0,PEN,"[16.0, 16.0, 16.0]",4
