,pattern,sum_diffs,match_1_piece_title,match_2_piece_title,match_1_part,match_2_part,match_1_start_measure,match_2_start_measure,match_1_end_measure,match_2_end_measure
205,"(-2, -2, -2, 1, 3, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,113,116,115,118
206,"(-2, -2, -2, 1, 3, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,113,124,115,126
208,"(-2, -2, -2, 1, 3, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,121,116,123,118
209,"(-2, -2, -2, 1, 3, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,121,124,123,126
212,"(-2, -2, -2, 1, 3, -2)",0.0,Ave Maria,Ave Maria,Tenor,Tenor,116,124,118,126
213,"(-2, -2, -2, 1, 4, 1)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,104,104,106,107
215,"(-2, -2, -2, 2, -2, 4)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,8,12,10,14
259,"(-2, -2, -2, 2, 3, -2)",0.0,Ave Maria,Ave Maria,[Superius],[Superius],113,121,115,123
263,"(-2, -2, -2, 2, 3, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,113,116,115,118
264,"(-2, -2, -2, 2, 3, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,113,124,115,126
268,"(-2, -2, -2, 2, 3, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,121,116,123,118
269,"(-2, -2, -2, 2, 3, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,121,124,123,126
279,"(-2, -2, -2, 2, 3, -2)",0.0,Ave Maria,Ave Maria,Tenor,Tenor,116,124,118,126
285,"(-2, -2, -2, 5, -2, -2)",0.0,Ave Maria,Ave Maria,Bassus,Bassus,115,123,117,125
287,"(-2, -2, 1, -2, 2, 2)",0.0,Ave Maria,Ave Maria,Altus,Bassus,57,62,59,64
288,"(-2, -2, 1, 1, 2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,57,62,59,64
289,"(-2, -2, 1, 3, -2, -2)",0.0,Ave Maria,Ave Maria,[Superius],[Superius],113,121,115,123
290,"(-2, -2, 1, 3, -2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,113,116,115,118
291,"(-2, -2, 1, 3, -2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,113,124,115,126
292,"(-2, -2, 1, 3, -2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,121,116,123,118
293,"(-2, -2, 1, 3, -2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,121,124,123,126
294,"(-2, -2, 1, 3, -2, -2)",0.0,Ave Maria,Ave Maria,Tenor,Tenor,116,124,118,126
295,"(-2, -2, 1, 4, 1, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,104,105,107,107
296,"(-2, -2, 2, -2, -2, 2)",0.6666666666666666,Ave Maria,Ave Maria,[Superius],Tenor,134,137,138,141
298,"(-2, -2, 2, -2, 4, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,8,12,11,15
304,"(-2, -2, 2, 2, -3, 2)",0.0,Ave Maria,Ave Maria,Bassus,Bassus,117,125,119,127
308,"(-2, -2, 2, 2, -2, -2)",0.9166666666666667,Ave Maria,Ave Maria,[Superius],Tenor,51,90,52,92
310,"(-2, -2, 2, 2, -2, 2)",0.0,Ave Maria,Ave Maria,Bassus,Bassus,117,125,119,127
322,"(-2, 1, -2, 2, 2, -2)",1.0,Ave Maria,Ave Maria,Altus,Bassus,58,63,60,65
